1679162488.558,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162488.575,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162489.104,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162489.121,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162489.637,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162489.653,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162490.17,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162490.186,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162490.725,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162490.752,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162491.271,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162491.289,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162491.808,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162491.825,2.231249999992997,27.551492781903587,68.6,1540.9,node1
1679162492.344,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162492.36,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162492.876,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162492.888,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162493.399,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162493.411,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162493.923,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162493.938,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162494.483,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162494.501,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162495.019,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162495.035,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162495.552,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162495.567,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162496.084,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162496.1,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162496.622,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162496.638,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162497.154,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162497.17,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162497.685,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162497.701,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162498.218,3.7291666666715173,9.018108236832264,68.6,1693.2,node2
1679162498.233,4.775000000004198,27.937562850999615,68.6,1543.4,node1
1679162498.749,8.76666666668217,9.518901812528595,68.6,1694.1,node2
